"marketTicker","eventTitle","marketTitle","closeDate","volume","yesPrice","noPrice","lastTradePrice","position","averagePrice","exposure","positionReturns","lockedInReturns","totalReturns"
"KXAFLGAME-26JUL032335FREGWS-FRE","Fremantle Dockers vs GWS Giants","Fremantle Dockers","Jul 17, 2026 at 11:35pm EDT","8","72¢","29¢","71¢","No x 2","30¢","$0.58","-$0.03","$0.00","-$0.03"
"KXAFLGAME-26JUL032335FREGWS-GWS","Fremantle Dockers vs GWS Giants","GWS Giants","Jul 17, 2026 at 11:35pm EDT","13","29¢","73¢","29¢","No x 2","74¢","$1.46","-$0.07","$0.00","-$0.07"
"KXALBUMLENGTH-26DEC30-PET-30","How long will Ariana Grande's album 'petal' be?","At least 30 minutes","Dec 30, 2026 at 11:59pm EST","265","98¢","13¢","87¢","No x 1","14¢","$0.13","-$0.01","$0.00","-$0.01"
"KXALBUMLENGTH-26DEC30-PET-35","How long will Ariana Grande's album 'petal' be?","At least 35 minutes","Dec 30, 2026 at 11:59pm EST","336.5","90¢","24¢","76¢","No x 1","25¢","$0.24","-$0.01","$0.00","-$0.01"
"KXALBUMLENGTH-26DEC30-PET-40","How long will Ariana Grande's album 'petal' be?","At least 40 minutes","Dec 30, 2026 at 11:59pm EST","203.5","57¢","57¢","44¢","No x 1","58¢","$0.56","-$0.02","$0.00","-$0.02"
"KXALBUMLENGTH-26DEC30-PET-45","How long will Ariana Grande's album 'petal' be?","At least 45 minutes","Dec 30, 2026 at 11:59pm EST","518","22¢","87¢","14¢","No x 1","87¢","$0.86","-$0.01","$0.00","-$0.01"
"KXPGATOUR-JODC26-TKAN","John Deere Classic Winner","Takumi Kanaya","Jul 18, 2026 at 8:00pm EDT","1645.81","0.3¢","99.8¢","0.3¢","Yes x 1","0¢","$0.00","-$0.00","$0.00","-$0.00"
"KXAFLGAME-26JUL032315MELHAW-HAW","Melbourne Demons vs Hawthorn Hawks","Hawthorn Hawks","Jul 17, 2026 at 11:15pm EDT","2","68¢","34¢","67¢","No x 2","35¢","$0.66","-$0.03","$0.00","-$0.03"
"KXAFLGAME-26JUL032315MELHAW-MEL","Melbourne Demons vs Hawthorn Hawks","Melbourne Demons","Jul 17, 2026 at 11:15pm EDT","290","34¢","68¢","34¢","No x 2","74¢","$1.46","-$0.17","$0.00","-$0.17"
"KXATPMATCH-26JUL01MERMED-MED","Merida vs Medvedev","Daniil Medvedev","Jul 15, 2026 at 6:00am EDT","4194.1","95¢","6¢","95¢","No x 1","7¢","$0.07","-$0.02","$0.00","-$0.02"
"KXAFLGAME-26JUL050240NMKPAP-NMK","North Melbourne Kangaroos vs Port Adelaide Power","North Melbourne Kangaroos","Jul 19, 2026 at 2:40am EDT","14","32¢","69¢","32¢","No x 2","71¢","$1.40","-$0.07","$0.00","-$0.07"
"KXAFLGAME-26JUL050240NMKPAP-PAP","North Melbourne Kangaroos vs Port Adelaide Power","Port Adelaide Power","Jul 19, 2026 at 2:40am EDT","2","68¢","33¢","68¢","No x 2","34¢","$0.64","-$0.03","$0.00","-$0.03"
